Table name;Table description;Table Abbreviation;Column name;Column datatype;Length;Precision;Domain;Primary key;Foreign key;Unique;Required;Parent table;Parent column;Column description;Column check constraint;Column default value
comptes;Compte des emprunteurs;;prepay_mnt;DECIMAL(16,2);16;2;;False;False;False;True;;;Montant du prépaiement;;0.00
comptes;Compte des emprunteurs;;proprio_id;INT;0;0;;False;True;False;True;empr;id_empr;Identifiant de l'emprunteur;;
comptes;Compte des emprunteurs;;droits;TEXT;0;0;;False;False;False;True;;;Droits sur le compte ;;
coordonnees;Coordonnées et contacts;;id_contact;INT;0;0;;True;False;False;True;;;identifiant du contact;;
coordonnees;Coordonnées et contacts;;type_coord;INT;0;0;;False;False;False;True;;;Type de coordonnée (0 : non précise, 1 : facture/principale, 2 : livraison);;0
coordonnees;Coordonnées et contacts;;num_entite;INT;0;0;;False;True;False;True;entites;id_entite;entité associé à ces coordonnées;;
coordonnees;Coordonnées et contacts;;libelle;VARCHAR(255);255;0;;False;False;False;True;;;description des coordonnées;;
coordonnees;Coordonnées et contacts;;contact;VARCHAR(255);255;0;;False;False;False;True;;;Nom et prénom du contact;;
coordonnees;Coordonnées et contacts;;adr1;VARCHAR(255);255;0;;False;False;False;True;;;adresse numéro 1;;
coordonnees;Coordonnées et contacts;;adr2;VARCHAR(255);255;0;;False;False;False;True;;;adresse numéro 2;;
coordonnees;Coordonnées et contacts;;cp;VARCHAR(15);15;0;;False;False;False;True;;;Code postal;;
coordonnees;Coordonnées et contacts;;ville;VARCHAR(100);100;0;;False;False;False;True;;;Ville;;
coordonnees;Coordonnées et contacts;;etat;VARCHAR(100);100;0;;False;False;False;True;;;Etat;;
coordonnees;Coordonnées et contacts;;pays;VARCHAR(100);100;0;;False;False;False;True;;;Pays;;
coordonnees;Coordonnées et contacts;;tel1;VARCHAR(100);100;0;;False;False;False;True;;;Téléphone 1;;
coordonnees;Coordonnées et contacts;;tel2;VARCHAR(100);100;0;;False;False;False;True;;;Téléphone 2;;
coordonnees;Coordonnées et contacts;;fax;VARCHAR(100);100;0;;False;False;False;True;;;Numéro de fax;;
coordonnees;Coordonnées et contacts;;email;VARCHAR(100);100;0;;False;False;False;True;;;Email du contact;;
coordonnees;Coordonnées et contacts;;commentaires;TEXT;0;0;;False;False;False;False;;;Commentaires sur le contact;;
docs_codestat;Catégorie statistique des exemplaires (libre);codestat exemplaires;idcode;INT;0;0;;True;False;False;True;;;Identifiant des catégories des statistiques des exemplaires;;
docs_codestat;Catégorie statistique des exemplaires (libre);codestat exemplaires;statisdoc_owner;INT;0;0;;False;True;False;True;lenders;idlender;Prêteur de l'exemplaire;;
docs_codestat;Catégorie statistique des exemplaires (libre);codestat exemplaires;codestat_libelle;VARCHAR(255);255;0;;False;False;False;False;;;Libellé de la catégorie statistique;;
docs_codestat;Catégorie statistique des exemplaires (libre);codestat exemplaires;statisdoc_codage_import;CHAR(2);2;0;;False;False;False;True;;;Code statistique UNIMARC d'un exemplaire (issu de l'import);;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;idlocation;INT;0;0;;True;False;False;True;;;Identifiant des positions géographiques globales des exemplaires (batiment, succursale,...);;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;locdoc_owner;INT;0;0;;False;True;False;True;lenders;idlender;Prêteur de l'exemplaire;;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;location_libelle;VARCHAR(255);255;0;;False;False;False;False;;;Libellé du lieu;;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;locdoc_codage_import;VARCHAR(255);255;0;;False;False;False;True;;;Lieu codé par le prêteur dans la notice UNIMARC (issu de l'import);;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;location_pic;VARCHAR(255);255;0;;False;False;False;True;;;Logo de la position géographique;;
docs_location;Position géographique globale des exemplaires (batiment, succursale,...);Emplacements globaux;location_visible_opac;TINYINT;0;0;;False;False;False;True;;;;;1
